text,actual_label,actual_name,predicted_label,predicted_name,prediction_probability,error_type
"toshiba manufacturer refurbished notebooks

toshiba manufacturer
refurbishednotebooks
computron will remain closed on dec
2 nd on the occasion of uae national
day
deals of the week ( about refurbished
- please see
below )
toshiba satellite
model
part no . #
processor
ram
hdd
drive
screen
o / s
nic
wireless
condition
prices
a 45 - sl 202
psa 40 u - 06 fv 36
celeron 2 . 6 g
256
40
dvd / cdrw
15 xga
xpp
10 / 100
refurb / 90 days
$
875 . 00
a 65 - sl 26
psa 60 u - 02 kol 5
celeron 2 . 8 g
256
60
dvd / cdrw
15 xga
xph
10 / 100
wifi
refurb / 90 days
$
895 . 00
a 45 - sl 51
psa 40 u - 0 clsnvb
p 4 2 . 8 g
512
60
dvd / cdrw
15 xga
xph
10 / 100
wifi
refurb / 90 days
$ 1080 . 00
a 75 - s 206
psa 70 u - 003002 b
p 4 2 . 8 g
512
60
dvd / cdrw
15 . 4 xga
xph
10 / 100
wifi
refurb / 90 days
$ 1105 . 00
a 65 - sl 065
p 4 2 . 8 g
512
60
dvd / cdrw
15 xga
xpp
10 / 100
wifi
refurb / 90 days
$ 1145 . 00
a 55 - s 306
psa 50 u - 03 to 2 e
centrinol . 5 g
256
40
dvd / cdrw
15 xga
xph
10 / 100
( 802 . 11 g ) ",1,PHISHING,0,LEGITIMATE,0.001152,FALSE_NEGATIVE
"invitation

i would like to invite you to visit . visit ( vacancies in systems and information technology ) is an exhibition where the best companies meet the best people face to face , with a view to encouraging you to join them . since visit opened in 1994 , over 1 , 000 people have moved to new jobs at the event . companies attending include : logica , cmg , admiral , sema group , ibm , unisys , cap gemini , experian , bacs , p&o nedlloyd , synamic , syntegra , chp , mdis , parity , american express , legal and general , prudential , kenan and icl . why should you attend quite simply this is your chance to take control of your career . you get to speak face to face with the people you could be working with , and you choose who you will speak to and when . you can find out for yourself whether these companies have something to offer you . jobs on offer the huge number of vacancies at visit means there will almost certainly be a job you will be interested in no matter what your skills",1,PHISHING,0,LEGITIMATE,0.001708,FALSE_NEGATIVE
"Candidate update 21.05.02

Dear Justin,

Net Nation IT Recruitment Candidate Update Newsletter

Our goal is to help you achieve your companies goals by providing you with
the best candidates on the job market today, with excellent and professional
service.

www.netnation.ie Tel: 01 635
9760

This month Justin, we have excellent IT candidates available, along with
some excellent IT Sales Super Stars.

**Stop Press**

Net Nation IT Recruitment will save up money on your contracting rates.
Call us now on 01 6359760 with your latest IT contracting jobs!

Net Nation is a member of the National Recruitment Federation which is a
standard of credibility and strong ethical standing within the Irish
Recruitment industry.

******

RDBMS/Project Managers/Mainframe. Garry Barcoe gbarcoe@netnation.ie
Tel: 01 635 9760

Oracle Developer: 4 years PL/SQL, Forms and Reports 6i and Designer
2000 exp. Gb01

RPG Programmer: 10+ years exp in all industries. Good grounding in ERP
systems including JD Edwards.",1,PHISHING,0,LEGITIMATE,0.001806,FALSE_NEGATIVE
"longstanding tycoon code

here is the the link to the website we talked about last week , we saved a lot
on our meds .
press here
thank you
charlene riggs",1,PHISHING,0,LEGITIMATE,0.002093,FALSE_NEGATIVE
"PURCHASE ORDER DELIVERY

[https://i.emlfiles.com/cmpimg/2011/32178/1351318_logo.png] [https://i.emlfiles.com/cmpimg/2011/32178/1349708_blank.gif] You have a new shipment waiting for you. [https://i.emlfiles.com/cmpimg/2011/32178/1349708_blank.gif] [https://i.emlfiles.com/cmpimg/2011/32178/1349708_blank.gif] Your new shipment just arrived our arrival facility, please click below to view your package details. [https://i.emlfiles.com/cmpimg/2011/32178/1349708_blank.gif] [https://i.emlfiles.com/cmpimg/2011/32178/1349708_blank.gif] [https://i.emlfiles.com/cmpimg/2011/32178/1349711_btnleft.png] Click Here [https://i.emlfiles.com/cmpimg/2011/32178/1349713_btnright.png] [https://i.emlfiles.com/cmpimg/2011/32178/1349708_blank.gif] [https://i.emlfiles.com/cmpimg/2011/32178/1349708_blank.gif] We are ready to receive your comments and to serve you better every day. [https://i.emlfiles.com/cmpimg/2011/32178/1349708_blank.gif] [https://i.emlfiles.com/cmpimg/2/2/9/5/2/files/imagecache/835056/w170_146",1,PHISHING,0,LEGITIMATE,0.002112,FALSE_NEGATIVE
"kinja account activation

hello , iztari :
thanks for creating an account . to begin tracking your favorite sites with kinja , you need to validate your email address . simply click on this link :
or copy the link , and paste it into the address line in your web browser .
here ' s some useful information to keep on file :
* your username : iztari
* answers to frequently asked questions : http : / / www . kinja . com / help /
welcome !
the kinja team",1,PHISHING,0,LEGITIMATE,0.002147,FALSE_NEGATIVE
"springtime sale on cibres erp book

events
cibres
cierp exam
( world
wide may 07 2003 )
cibres
cierp exam
( world
wide jun 04 2004 )
cibres
cierp exam
( world
wide jul 02 2004 )
cibres
cierp exam
( world
wide aug 6 2004 )
write
to cibres . com
do
you know of an interesting story ? a topic that you would like to see
covered ? or would like to learn more about cibres products and
services ? you can contact cibres by writing to : service @ cibres . com
or by using the
email form below .
most emails are
returned in less than 4 hrs .
from :
subject :
dear cibres :
( your question or comment here )
thank you ,
( your name )
springtime
sale on cibres erp book .
we have a springtime
sale on our famous erp certification book of just $ 47 . it is the
most widely adopted textbook in the field of erp by industry
practitioners and universities around the world .
details
cibres
who ' s who directory - - - - - - - - - - - - - - - - - - - - - - - - - -
looking to increase your
networking ? have compan",1,PHISHING,0,LEGITIMATE,0.003204,FALSE_NEGATIVE
"from fanny , recommending nek

dear sir or madam , this is not a "" spam "" message . we are sending it on behalf of a nek player , whose nickname appears in the subject line above , and who provided your e-mail address and requested that we send you a recommendation . for more information and to download a fully functional trial copy , please visit http : / / www . nekonline . com . nek is an action / puzzle game that plays exactly like the famous tetris game . nek however adds a lot of depth and excitement by allowing up to 11 people to play competitively in the same game . by completing lines in the puzzle , players automatically trigger "" weapons "" and "" defenses "" in their opponents ' games with hilarious effects . many people have raved about nek , and we hope that you too will enjoy the game tremendously . you can participate in multiplayer nek games for free on mplayer . com at http : / / www . mplayer . com , and on at&t gamehub at http : / / www . gamehub . net . thank you , el",1,PHISHING,0,LEGITIMATE,0.003259,FALSE_NEGATIVE
"fwd : pass this on ! important !

buddy ,
how are you wonderful day ? do you want $ 27 , 000 ?
funding is available for almost any reason .
~ you do not have to pay it back ~
~ there are no bank fees involved ~
http : / / www . netdealsforyou . com / mailer . htm
~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~
i thank you for the email , but i am not interested . ?
see : http : / / www . netdealsforyou . com / go . htm
ansmtp component build v 5 . 0 http : / / www . adminsystem . net ( trial version only )",1,PHISHING,0,LEGITIMATE,0.005436,FALSE_NEGATIVE
"scrub the web confirmation required

your confirmation is required by jul 28 , 2005 - see below !
thanks again for submitting your url at scrub the web . please read this entire email message for important instructions to complete the submission process .
the following url was submitted to stw :
http : / / www . datapest . net /
the ip address of the person making this submission was :
216 . 219 . 253 . 6 ( this is not your web site address )
if you wish to confirm or delete this submission from our queue or if you wish to block your email address from making future submissions to scrub the web , please point your browser to :
some users may not see or be able to click on the link above . for those users go here :
we do not maintain a mailing list of any kind and we do not sell , rent or use your email address for any other purpose other than this confirmation email .
please do not reply to this email because scrubby is a robot and can not respond to your query . if you need to contact",1,PHISHING,0,LEGITIMATE,0.007198,FALSE_NEGATIVE
"shop for rolex here only . [ junior ]

she told me you want a rolex ?",1,PHISHING,0,LEGITIMATE,0.008187,FALSE_NEGATIVE
"Now is the perfect time to visit Costa Rica

e map at hazard.

Not only did the Russians not fortify the position on the field of
Borodino to the left of, and at a right angle to, the highroad (that
is, the position on which the battle took place), but never till the
twenty-fifth of August, 1812, did they think that a battle might be
fought there. This was shown first by the fact that there were no
entrenchments there by the twenty fifth and that those begun on the
twenty-fifth and twenty-sixth were not completed, and secondly, by the
position of the Shevardino Redoubt. That redoubt was quite senseless
in front of the position where the battle was accepted. Why was it
more strongly fortified than any other post? And why were all
efforts exhausted and six thousand men sacrificed to defend it till
late at night on the twenty-fourth? A Cossack patrol would have
sufficed to observe the enemy. Thirdly, as proof that the position
on which the battle was fought had not been foreseen and that ",1,PHISHING,0,LEGITIMATE,0.011131,FALSE_NEGATIVE
"lump sternal they ' re

here is the the link to the website we talked about last week , we saved a lot
on our meds .
press here
thank you
harris jernigan",1,PHISHING,0,LEGITIMATE,0.024575,FALSE_NEGATIVE
"i tried calling last night

they are not missing shouting today .",1,PHISHING,0,LEGITIMATE,0.025102,FALSE_NEGATIVE
"bush advocates buying meds online . odyssey

bush advocates "" sense if safe "" policy on importing meds .
if bush is advocating this and you ' ve been comtemplating , why not give it a try .
save up to 80 % on all medications , stop paying ridulous ammounts to already overpaid doctors .
click below for more information .
www . saprophyte 7168 rneds . com / 118
"" president bush says the importation of prescription medication from canada and elsewhere into the us makes sense only if the medications can be assured to not harm us citizens . the government is obliged to assure the safety of its citizens , he says . """,1,PHISHING,0,LEGITIMATE,0.026111,FALSE_NEGATIVE
"a better economy for apd

re - finance now , even with bad - cr?dit !
* the best re finance rate for cr?dit challenged .
* the best customer service !
* the lowest interest in years
* save from 200 to 300 per month
our easy application only takes 2 minutes .
please visit here for more inqueries
- - - - - - - - - - - - - - - - -
to opt out from our mailing lists , please follow this url .",1,PHISHING,0,LEGITIMATE,0.05053,FALSE_NEGATIVE
"The database that Bill Gates doesnt want you to know about!!!!!

IMPORTANT NOTICE: Regarding your domain name

* If you own a .com/.net/.org, you are advised to register
your .ws ""web site"" domain before someone else takes it forever.

* Major corporations such as Yahoo, ATT & Intel, have all
registered their .ws ""web site"" domains for their company names
as well as all their trademarks, to protect them forever.

* .ws ""web site"" domains are in 180+ countries worldwide

* Availability for .ws is ~88% compared to ~24% for .com

We thought you'd find the article on .ws below interesting.
If you want more information on where to register .ws ""web site""
domains, and how to get a discount on multiple registrations,
contact us at http://www.netleads.ws/morgan

Also, if you would like to increase traffic to your web site,
by submitting your URL to 500+ search engines and directories
at once, then call us today.

Sincerely,
Joe & Stacy Morgan
+1.888.660.0625
Internet Names, LLC.

#############",1,PHISHING,0,LEGITIMATE,0.101533,FALSE_NEGATIVE
"welcome to jokes internet magazine - cn : 80924609220

confirmation number : 80924609220 if you wish to subscribe to jokes free daily ezine please press reply and then send for confirmation ( please make sure you leave the confirmation line : "" confirmation number : [ number ] "" above in the email ! ! ) the above confirmation number line ( including the label confirmation number : ) must be left in the return message for our robot to process . if you have signed up in error or someone else has attemped to sign you up , please either ignore this email or type "" cancel "" in the subject heading of a reply to this message and press send . you will then be removed from our records . you should receive your first issue shortly . enter the jokes4u $ 100 , 000 sweepstakes and you can be that much richer ! ! ! hurry up and enter today before the big drawing ! ! ! no purchase necessary - no strings attached ! ! ! http : / / www . jokes4u . com / sweepstakes . html http : / / www . jokes4u . com ",1,PHISHING,0,LEGITIMATE,0.107651,FALSE_NEGATIVE
"ge

arcane , was already breaking , ritz , the entire ground , atchison , up on this . decisive , by the open , cauchy , here he went .",1,PHISHING,0,LEGITIMATE,0.112929,FALSE_NEGATIVE
"post jobs fast and get results fast

jobslog . com is the fasted growing online jobs recruiting search engine .
for unlimited postings please call us at :
877 - jobslog
or log in to
www . jobslog . com
jobslog . com 1314 south king st . , ste . 856 honolulu , hawaii 96814 this e - mail message is an advertisement and / or solicitation .",1,PHISHING,0,LEGITIMATE,0.118381,FALSE_NEGATIVE
"re [ 4 ] :

terra investigate blackouts i wonder what if . . . paint shopthere ' s also another one tupac sharuk",1,PHISHING,0,LEGITIMATE,0.118683,FALSE_NEGATIVE
"backgammon tournament

the senate foreign relations committee approved rice ' s nomination 16 - 2 wednesday , despite reservations of some democrats who nonetheless voted for her . while acknowledging that rice will be confirmed eventually , some democrats want to show they are ready to fight the president in his second term - - amid grumbling that party leaders did not stand up to bush in his first term
btl subjectivity irresolute larsen either spike emeriti downgrade alveolus jeopardy borneo party merriam anthropomorphic bassinet benchmark assam storekeep glycine myself thine sickroom alter dizzy contagious cackle distort batch ingratitude avarice theme horny flirtatious whirligig mizar fiscal
clockwatcher gnostic joyride allan emitter paulus burnout begrudge condense southbound dialogue zenith bevel deane defuse buckwheat partial dub bonito inapt clearwater coniferous ascription
hard antoine temporal article leatherback necessary withstood possession schubert anus beechwood akin fix",1,PHISHING,0,LEGITIMATE,0.137347,FALSE_NEGATIVE
"Canadian Tire Shopping Gift Confirmation

came into the room and sat down on the
broad benches in the corner under the icons. ""Granddad"" himself, as
Malasha in her own mind called Kutuzov, sat apart in a dark corner
behind the oven. He sat, sunk deep in a folding armchair, and
continually cleared his throat and pulled at the collar of his coat
which, though it was unbuttoned, still seemed to pinch his neck. Those
who entered went up one by one to the field marshal; he pressed the
hands of some and nodded to others. His adjutant Kaysarov was about to
draw back the curtain of the window facing Kutuzov, but the latter
moved his hand angrily and Kaysarov understood that his Serene
Highness did not wish his face to be seen.

Round the peasant's deal table, on which lay maps, plans, pencils,
and papers, so many people gathered that the orderlies brought in
another bench and put it beside the table. Ermolov, Kaysarov, and
Toll, who had just arrived, sat down on this bench. In the foremost
pla",1,PHISHING,0,LEGITIMATE,0.237326,FALSE_NEGATIVE
"protect yourself against identity theft .

your 90 day trial expires on
11 / 15 / 2004
dear bruce :
are you protected against identity theft ?
besides a trial of mcafee virusscan anti - virus protection , your mcafeecenter includes a privacy service trial , for identity theft protection plus a family - safe internet .
it is like having a 24 - hour internet safety monitor guarding your family ' s online privacy .
dell and mcafee recommend you activate privacy service now .
it costs nothing and takes only a few minutes .
to install privacy service via the mcafeecenter :
open the securitycenter by double - clicking on the red "" m "" icon in your system tray ( by the clock on your computer desktop ) or by going through the "" programs "" option in the start menu , and selecting the mcafee . com or mcafee option .
select the privacy service icon from the images on the left - hand side of the mcafeecenter .
click on the "" install "" link in the pink - colored stoplight section at the top of the ",1,PHISHING,0,LEGITIMATE,0.239791,FALSE_NEGATIVE
"april vip specials from legend micro , inc .

vip customer specials - april 20 legend micro inc . toll free - 1-800 - 745-4945 3200 south arlington road local - 330-644 - 7955 akron , oh 44312 fax - 330-645 - 7183 http : / / www . legendmicro . com / email - sales @ legendmicro . com * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * april vip specials * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * cybervision c70 17 "" monitors - 3 year warranty - $ 219 save $ 10 off of regular retail web price . - - ",1,PHISHING,0,LEGITIMATE,0.272459,FALSE_NEGATIVE
"RE: Service Help Desk

________________________________
From: Ljiljana Pajeska
Sent: Thursday, April 19, 2018 3:26 PM
Subject: Service Help Desk

Welcome to the new outlook web app for Staff

Migrate to The new Outlook Web app for Staff is the new home for online self-service and information and additional storage.
Click on GATEWAY and login to:
· Access the new staff directory
· Access your pay slips and P60s
· Update your ID photo
· E-mail and Calendar Flexibility
· Connect mobile number to e-mail for Voicemail
Everyone is advise to migrate immediately.

Help Desk Support Team

IZJAVA O ODRICANJU ODGOVORNOSTI: Sadržaj ove poruke i eventualno priloženih datoteka povjerljiv je i namijenjen isključivo naznačenim primateljima. Ako ste pogreškom primili ovu poruku, o tome obavijestite pošiljatelja, a poruku i sve njezine privitke i kopije uklonite s računala. Svako prenošenje informacija koje poruka sadržava, njihovo kopiranje ili prosljeđivanje trećim osobama zabranjeno je i može biti za",1,PHISHING,0,LEGITIMATE,0.304676,FALSE_NEGATIVE
"today

hey sheppard ,
i haven ' t heard from you in awhile and just wanted to catch up .
what are you doing now ? how ' s work going ? i ' ve been really busy
lately , haven ' t really had much time to do anything my job has
me working like 80 hrs a week , flying back and forth from london to new york .
well i gotta run , just hit me up when you get a chance .
see ya ,
sandy sheppard
bloomington http : / / www . outsourcehub . biz / en / 11 / archetype
fontaine
coastline hater warmhearted willard adhesion cake francoise apostrophe capture ambiguous needle .",1,PHISHING,0,LEGITIMATE,0.331829,FALSE_NEGATIVE
"read the greatest story on the universe

dear explorer :
ever wonder about the story of noah ' s ark ? was it really true ? what did the
ancients mean when they recorded that he sailed across the cosmic sea through a
black hole ? well , the authors of the ark of millions of years discovered
knowledge about this event that have been lost for over six thousand years .
their new book has rocketed to the best seller ' s list in less than 90 days ,
because they tell the most stunning story ever heard .
we want you to buy the book today . visit www . . com and buy a hard
or soft cover at a great 15 % discount . when you do , we ' ll give you some great
bonuses . our affiliates have the coolest ancient art for your office or your
study . papyrus , castings of ancient carvings , and egyptian statues can all be
yours at fantastic discounts if you ' ll
just buy the book today . you can look like a great ancient art collector for
pennies and read the greatest story on the universe without paying ",1,PHISHING,0,LEGITIMATE,0.413559,FALSE_NEGATIVE
"protect your computer with norton systemworks 2002

norton
system works
a
complete problem - solving suite for advanced users
and small businesses .
norton
system works features :
norton antivirus
protects your pc from virus threats
norton utilities
optimizes pc performance and solves problems
norton cleansweep
cleans out internet clutter
goback by roxio
provides quick and easy system recovery
norton ghost
clones and upgrades your system easily
winfax basic
sends and receives professional - looking faxes
order
today
$ 300 . 00 +
value
your
price - $ 29 . 99
click
here to unsubscribe from these
mailings .",1,PHISHING,0,LEGITIMATE,0.425639,FALSE_NEGATIVE
"software 3000 breakfast

store
fountainhead
leaven
% q
news ; blogs ; white papers ; downloads ; reviews ; prices . go . alerts | ; newsletters | ;
rss feeds . click here . enterprise news . mozilla freezes seamonkey : 04 : 20 pm . automation
a bigger deal than offshoring ? 03 : 33 pm . time to kill it for the",1,PHISHING,0,LEGITIMATE,0.455448,FALSE_NEGATIVE
"can ' t please everyone

thought you might enjoy this .
an old man , a boy and a donkey were going to town . the
boy rode on the donkey and the old man walked . as they
went along they passed some people who remarked it was
a shame the old man was walking and the boy was riding .
the man and boy thought maybe the critics were right ,
so they changed positions .
later , they passed some people that remarked , "" what a
shame , he makes that little boy walk "" . they then decided
they both would walk . soon they passed some more people
who thought they were stupid to walk when they had a
decent donkey to ride . so , they both rode the donkey .
now they passed some people that shamed them by saying
how awful to put such a load on a poor donkey . the boy
and man said they were probably right , so they decided
to carry the donkey . as they crossed the bridge , they
lost their grip on the animal and he fell into the river
and drowned .
the moral of the story ?
if you try to please everyone , y",0,LEGITIMATE,1,PHISHING,0.999662,FALSE_POSITIVE
"Memo, ignite a blaze of wealth on August 23rd.

I have something for you so wonderful and inspiring, that it will be
like stepping into a dazzle of sunlight, and all the possibilities of life
will unravel before you with the calm, effortless beauty of a summers
day...

Finally Memo, the Five Divine Forms of Plato Bracelet is ready for
you, specially designed so that you can achieve a life of unparalleled
perfection and happiness.

After working on your forecast for the past (months received) months,
I know how much you dream of change, and I also know that you deserve to
have enough wealth and happiness to last a lifetime. Nothing would bring me
more joy than to help you achieve this, and now I can through an exquisite
piece of Jewelry that embodies the incredible wisdom of a man who lived
thousands of years ago, Plato, one of our worlds greatest philosophers.

This incredible man discovered a fundamental truth about our
existence, and from this truth he developed theories that brought",0,LEGITIMATE,1,PHISHING,0.999518,FALSE_POSITIVE
"=?iso-2022-jp?B?UmU6IBskQjswSSkyPTNYJSglcyU4JUslIiVqJXMlME1NJVcbKEI=?
OTC/ $B0KElMM (B $B$*@$OC$K$J$C$F$*$j$^$9!# (B $B;0I)2=3X%(%s%8%K%""%j%s%0MM$N (Blivelink $B%m%0$+$i$O (B $B8=:_!""860x$,FCDj$G$-$J$$$?$a (B $B>pJs$r@0M}$7!""4D6-LL$r4^$a!""LdBj$N@Z$jJ,$1$r9T$J$C$F$$$-$^$9!# (B $B$=$N$?$a$K (B[Service for UNIX] $B$K4X$7$FLdBj$,$J$+$C$?$N$+ (B $B3NG'$5$;$F$$$?$@$-$^$7$?!# (B $B%W%m%;%9%@%&%s$NMW0x$H$7$F!""$5$^$6$^$J%1!<%9$,$""$j$^$9$, (B $B4F::5!G=%m!<%IIT6q9g!"" (BCA $B$NIT6q9g0J30$K (B $B860x$N@Z$jJ,$1$N$?$a!""%W%m%;%9%@%&%s$N860x$H$J$C$?FbMF$r (B $BJs9p$7$F$$$?$@$1$J$$$G$7$g$&$+!# (B $B$J$*!"" (B[Service for UNIX] $B$NLdBj$H$7$F!"" (BLivelink $B$N;HMQ$9$k4D6-$H$O (B $BD>@\4X78$J$$$+$b$7$l$^$;$s$,$*CN$i$;$7$^$9!# (B http://www.microsoft.com/japan/support/kb/articles/JP294/3/80.htm http://www.microsoft.com/JAPAN/support/kb/articles/JP283/0/13.HTM?LN=JA&SD=S O&FR=0 $B%W%m%;%9%@%&%s$,0l9o$bAa$/2r7h$G$-$k$h$& (B $B$46(NO$*4j$$$$$?$7$^$9!# (B $B%-%d%N%sHNGd!J3t!K (B $B0KF#!!@55A (B -------- Origin",0,LEGITIMATE,1,PHISHING,0.999453,FALSE_POSITIVE
